description,keywords,suggestedAccount,confidence,entryType,reason,source
initial contribution,initial;contribution,Charitable Contributions,95,CREDIT,Based on account weighting for 'contribution' keyword,simulation
employee salary,employee;salary,Payroll Expense,92,DEBIT,Based on account weighting for 'salary' keyword,simulation
consulting fee,consulting;fee,Professional Services,91,DEBIT,Based on account weighting for 'consulting' keyword,simulation
sold products,sold;products,Sales Revenue,90,CREDIT,Based on account weighting for 'sold' keyword,simulation
loan payment,loan;payment,Loan Payable,89,CREDIT,Based on account weighting for 'loan' keyword,simulation
rent payment,rent;payment,Rent Expense,88,DEBIT,Based on account weighting for 'rent' keyword,simulation
inventory purchase,inventory;purchase,Inventory,87,DEBIT,Based on account weighting for 'inventory' keyword,simulation
insurance premium,insurance;premium,Insurance Expense,86,DEBIT,Based on account weighting for 'insurance' keyword,simulation
bought equipment,bought;equipment,Equipment Purchase,85,DEBIT,Based on account weighting for 'bought' keyword,simulation
utility bill,utility;bill,Utilities Expense,83,DEBIT,Based on account weighting for 'utility' keyword,simulation
initial,initial,Equipment,79,DEBIT,Based on account weighting for 'initial' keyword,real
